band,name,earfcn_lo,earfcn_hi,dl_lo,dl_hi,ul_lo,ul_hi
1,2100,0,599,2100000000,2170000000,1910000000,1980000000
2,1900 PCS,600,1199,1930000000,1990000000,1850000000,1910000000
3,1800+,1200,1949,1805000000,1880000000,1710000000,1785000000
4,AWS-1,1950,2399,2110000000,2155000000,1710000000,1755000000
5,850,2400,2649,869000000,894000000,824000000,849000000
7,2600,2750,3449,2620000000,2690000000,2500000000,2570000000
8,900 GSM,3450,3799,925000000,960000000,890000000,925000000
12,700 a,5010,5179,729000000,746000000,699000000,716000000
13,700 c,5180,5279,746000000,756000000,777000000,787000000
14,700 PS,5280,5379,758000000,768000000,788000000,798000000
17,700 b,5730,5849,734000000,746000000,704000000,716000000
20,800,6150,6449,791000000,821000000,832000000,862000000
25,1900+,8040,8689,1930000000,1995000000,1850000000,1915000000
26,850+,8690,9039,859000000,894000000,814000000,849000000
28,700 APT,9210,9659,758000000,803000000,703000000,748000000
29,700 d,9660,9769,717000000,728000000,717000000,728000000
30,2300 WCS,9770,9869,2350000000,2360000000,2305000000,2315000000
66,AWS-3,66436,67335,2110000000,2200000000,1710000000,1800000000
71,600,68586,68935,617000000,652000000,663000000,698000000
